B:SEXL4  =  15.26 AMPS
B:SEXL5  =  11.3  AMPS
B:SEXL6  =  2.723 AMPS
B:SEXL7  =  .7425 AMPS
 
B:DOGL3  =  295.2 AMPS
 
B:ORBMPI =  13070 Amps
 
B:OCTT   Time Table 1
           X	   Y
         3    	 .0873
         6    	 3.402
         4    	 4.838
         5    	 5.24 
         6    	 5.412
         8    	 5.756
         8    	 6.101
         10   	 6.445
         11   	 6.732
         8    	 6.847
         5    	 6.79 
         6    	 6.962
         6    	 7.077
         8    	 7.134
         4    	 7.134
         4    	 7.134
         5    	 7.249
         6    	 7.421
         4    	 7.421
         5    	 7.536
         2    	 7.536
         6    	 7.536
         7    	 7.536
         4    	 7.421
         6    	 7.536
         7    	 7.536
         8    	 7.536
         12   	 7.792
         9    	 7.867
         10   	 8.017
         9    	 8.242
         10   	 8.28 
         10   	 8.317
         8    	 8.505
         9    	 8.542
         10   	 8.542
         9    	 8.542
         10   	 8.542
         14   	 8.505
         10   	 8.505
         6    	 8.505
         4    	 8.505
         2    	 8.505
         3    	 8.505
         2    	 8.505
         1    	 8.505
         1    	 8.505
         1    	 8.505
         3    	 8.505
         6    	 8.505
         2    	 8.505
         3    	 8.505
         4    	 8.542
         10   	 4.423
         10   	 3.686
         17   	 0    
         0    	 0    
         0    	 0    
         0    	 0    
         0    	 0    
         0    	 0    
         0    	 0    
         0    	 0    
         0    	 0    

 
B:BEX2T  Time Table 1
           X	   Y
         1.8  	 .0623
         2.4  	 .0623
         3.2  	 .0623
         4    	 .0623
         5    	 .0623
         6.1  	-.0073
         6.9  	-.1477
         7.4  	-.2515
         8    	-.4346
         8.6  	-.6995
         9.4  	-1.052
         9.8  	-1.237
         10.2 	-1.469
         10.7 	-1.682
         11.3 	-1.932
         11.7 	-2.111
         12.2 	-2.336
         12.4 	-2.455
         13   	-2.67 
         13.7 	-3.003
         14.1 	-3.242
         14.7 	-3.55 
         15.4 	-3.892
         16.2 	-4.467
         17.4 	-5.221
         18.3 	-6.515
         19.3 	-7.013
         20.2 	-7.163
         21.2 	-7.512
         22.2 	-7.737
         23   	-7.861
         23.9 	-8.06 
         24.9 	-8.11 
         25.8 	-8.359
         26.8 	-8.54 
         28.2 	-9.208
         29.2 	-9.208
         29.8 	-9.208
         30.2 	-9.208
         30.4 	-9.208
         30.7 	-9.208
         30.9 	-9.232
         31.03	-9.232
         31.09	-9.232
         31.19	-9.232
         31.49	-9.232
         31.86	-9.232
         32.27	-8.958
         32.99	-7.692
         33.87	-5.789
         34.94	-4.187
         35.84	-2.949
         37.27	-2.024
         39.9 	-.1111
         42.9 	 .0037
