@ NAME             %7s "HLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_HL01    I_HL10    I_HL11    I_HL12    I_HL13    I_HL14    I_HL15    I_HL16    I_HL17    I_HL18    I_HL19    I_HL02    I_HL20    I_HL21    I_HL22    I_HL23    I_HL24    I_HL03    I_HL04    I_HL05    I_HL06    I_HL07    I_HL08    I_HL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           3.100000  5.284967e+00   1.217167e+01   1.081790e+01   6.216167e+00   1.829333e+01   1.336333e+00   1.147067e+01   2.472800e+00   8.351433e+00   4.804600e+00   2.701633e+00   6.175833e+00   6.129653e+00   9.973433e+00   7.610167e+00   4.898933e+00   5.958593e+00   7.690733e+00   -4.454867e+00   -4.146500e+00   4.746600e+00   1.151900e+00   7.318467e+00   9.602600e+00   
           4.180000  2.033807e+00   1.197367e+01   1.003922e+01   1.303277e+01   1.660133e+01   2.333533e+00   1.093787e+01   9.694400e-01   9.911313e+00   5.966680e+00   4.771273e+00   6.757233e+00   3.911909e+00   8.390513e+00   5.808367e+00   1.874213e+00   3.718601e+00   6.402653e+00   -6.516227e+00   -8.374700e+00   2.960280e+00   -4.907800e-01   6.934707e+00   8.356280e+00   
           5.220000  -1.096940e+00   1.178300e+01   9.289380e+00   1.959690e+01   1.497200e+01   3.293800e+00   1.042480e+01   -4.782400e-01   1.141342e+01   7.085720e+00   6.764260e+00   7.317100e+00   1.776304e+00   6.866220e+00   4.073300e+00   -1.038480e+00   1.561572e+00   5.162280e+00   -8.501240e+00   -1.244630e+01   1.240120e+00   -2.072620e+00   6.565160e+00   7.156120e+00   
           6.220000  -3.017430e+00   1.226700e+01   9.101165e+00   2.344239e+01   1.341071e+01   3.416810e+00   1.041070e+01   -1.169155e+00   1.317305e+01   8.243175e+00   8.623705e+00   8.557765e+00   6.790270e-01   6.411435e+00   3.308140e+00   -3.091121e+00   2.553860e-01   4.676840e+00   -9.861905e+00   -1.498966e+01   3.032100e-01   -2.843145e+00   6.825460e+00   6.814470e+00   
           7.180000  -1.151670e+00   1.500300e+01   1.073388e+01   1.874007e+01   1.193015e+01   8.108900e-01   1.202830e+01   5.538050e-01   1.593545e+01   9.631575e+00   1.021514e+01   1.213928e+01   2.880163e+00   9.415515e+00   5.647660e+00   -2.515649e+00   1.615034e+00   6.617960e+00   -9.302945e+00   -1.276270e+01   1.844490e+00   -1.028505e+00   9.170740e+00   9.251430e+00   
           8.110000  6.557850e-01   1.765350e+01   1.231558e+01   1.418469e+01   1.049585e+01   -1.713595e+00   1.359535e+01   2.222922e+00   1.861152e+01   1.097659e+01   1.175685e+01   1.560888e+01   5.012513e+00   1.232572e+01   7.914070e+00   -1.958161e+00   2.932193e+00   8.498420e+00   -8.761453e+00   -1.060533e+01   3.337605e+00   7.294275e-01   1.144273e+01   1.161223e+01   
           9.010000  2.404935e+00   2.021850e+01   1.384626e+01   9.776268e+00   9.107828e+00   -4.156645e+00   1.511185e+01   3.838197e+00   2.120127e+01   1.227821e+01   1.324883e+01   1.896656e+01   7.076078e+00   1.514204e+01   1.010737e+01   -1.418656e+00   4.206863e+00   1.031822e+01   -8.237428e+00   -8.517553e+00   4.782555e+00   2.430652e+00   1.364143e+01   1.389688e+01   
           9.890000  4.115215e+00   2.272650e+01   1.534292e+01   5.465808e+00   7.750648e+00   -6.545405e+00   1.659465e+01   5.417577e+00   2.373347e+01   1.355091e+01   1.470765e+01   2.224962e+01   9.093786e+00   1.789578e+01   1.225193e+01   -8.911395e-01   5.453207e+00   1.209758e+01   -7.725048e+00   -6.476173e+00   6.195395e+00   4.094072e+00   1.579127e+01   1.613076e+01   
