@ NAME             %7s "HSTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_HS01    I_HS10    I_HS11    I_HS12    I_HS13    I_HS14    I_HS15    I_HS16    I_HS17    I_HS18    I_HS19    I_HS02    I_HS20    I_HS21    I_HS22    I_HS23    I_HS24    I_HS03    I_HS04    I_HS05    I_HS06    I_HS07    I_HS08    I_HS09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           3.100000  3.254633e+00   1.707000e+00   8.903667e-01   4.658667e-01   5.310167e-01   1.526800e+00   2.574300e+00   7.041000e+00   2.945600e+00   4.271733e+00   5.470700e+00   1.805200e+00   5.531500e+00   3.903433e+00   7.375913e+00   8.339230e+00   3.128500e+00   7.498167e+00   1.125640e+01   9.061233e+00   4.665933e+00   9.094533e+00   6.212067e+00   -2.875033e-01   
           4.180000  3.130733e-01   -2.353800e+00   -5.034873e+00   -6.965973e+00   -2.962603e+00   -3.324560e+00   -2.526000e-02   3.898200e+00   -1.616320e+00   -6.559467e-01   5.102600e-01   -1.853840e+00   2.178100e+00   1.281133e-01   4.502177e+00   5.231314e+00   9.955000e-01   3.849567e+00   9.381520e+00   7.184553e+00   1.943613e+00   5.633493e+00   1.979187e+00   -4.236019e+00   
           5.220000  -2.519540e+00   -6.264200e+00   -1.074066e+01   -1.412256e+01   -6.326830e+00   -7.996240e+00   -2.528540e+00   8.718000e-01   -6.009280e+00   -5.401120e+00   -4.266460e+00   -5.377360e+00   -1.051100e+00   -3.507380e+00   1.734876e+00   2.238506e+00   -1.058500e+00   3.361000e-01   7.576080e+00   5.377380e+00   -6.778800e-01   2.300640e+00   -2.096920e+00   -8.038294e+00   
           6.220000  -4.463710e+00   -8.964295e+00   -1.426760e+01   -1.849808e+01   -7.987490e+00   -1.092088e+01   -4.187370e+00   -9.362750e-01   -9.098190e+00   -8.603820e+00   -7.459067e+00   -8.118780e+00   -3.221980e+00   -5.977315e+00   1.453030e-01   5.277355e-01   -2.232755e+00   -2.019820e+00   6.533190e+00   4.389840e+00   -2.352665e+00   2.097600e-01   -4.915108e+00   -1.071840e+01   
           7.180000  -3.676990e+00   -7.948855e+00   -1.098440e+01   -1.416968e+01   -4.223810e+00   -8.393798e+00   -3.233346e+00   1.078525e+00   -8.200110e+00   -7.049580e+00   -5.757539e+00   -8.549820e+00   -2.126620e+00   -4.857235e+00   2.265607e+00   2.857199e+00   -6.345950e-01   -8.015800e-01   7.891110e+00   5.994960e+00   -1.081385e+00   1.993440e+00   -3.872668e+00   -9.969600e+00   
           8.110000  -2.914855e+00   -6.965148e+00   -7.803800e+00   -9.976538e+00   -5.777450e-01   -5.945689e+00   -2.309135e+00   3.030362e+00   -7.330095e+00   -5.543910e+00   -4.109183e+00   -8.967390e+00   -1.065490e+00   -3.772158e+00   4.319651e+00   5.113868e+00   9.136225e-01   3.785900e-01   9.206595e+00   7.549920e+00   1.501675e-01   3.721380e+00   -2.862804e+00   -9.244200e+00   
           9.010000  -2.177305e+00   -6.013173e+00   -4.725800e+00   -5.918663e+00   2.950705e+00   -3.576551e+00   -1.414737e+00   4.919237e+00   -6.488145e+00   -4.086810e+00   -2.514001e+00   -9.371490e+00   -3.859000e-02   -2.722083e+00   6.307436e+00   7.297740e+00   2.411897e+00   1.520690e+00   1.047964e+01   9.054720e+00   1.341992e+00   5.393580e+00   -1.885516e+00   -8.542200e+00   
           9.890000  -1.456145e+00   -5.082353e+00   -1.716200e+00   -1.950963e+00   6.400745e+00   -1.260061e+00   -5.402153e-01   6.766137e+00   -5.664905e+00   -2.662090e+00   -9.542668e-01   -9.766610e+00   9.654900e-01   -1.695343e+00   8.251048e+00   9.433082e+00   3.876877e+00   2.637410e+00   1.172440e+01   1.052608e+01   2.507332e+00   7.028620e+00   -9.299463e-01   -7.855800e+00   
