@ NAME             %7s "QLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_QL01    I_QL10    I_QL11    I_QL12    I_QL13    I_QL14    I_QL15    I_QL16    I_QL17    I_QL18    I_QL19    I_QL02    I_QL20    I_QL21    I_QL22    I_QL23    I_QL24    I_QL03    I_QL04    I_QL05    I_QL06    I_QL07    I_QL08    I_QL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  1.239101e+00   -6.066655e+00   -2.307783e-01   -8.119856e-01   2.511161e-02   -7.653569e+00   -2.279881e+00   -7.603978e+00   -5.249394e+00   -3.168553e+00   3.484453e-01   1.364070e+00   7.848467e-01   -6.751142e-01   3.829738e+00   1.717159e+00   1.493007e+00   -4.332951e+00   -2.726201e+00   -1.789921e+00   -6.445530e+00   2.709525e-02   -1.224583e+00   3.214809e+00   
           3.100000  7.997080e-01   -6.506048e+00   -6.701711e-01   -1.251378e+00   -4.142812e-01   -8.092962e+00   -2.719274e+00   -8.043371e+00   -5.688787e+00   -3.607946e+00   -9.094751e-02   9.246775e-01   3.454539e-01   -1.114507e+00   3.390345e+00   1.277766e+00   1.053614e+00   -4.772344e+00   -3.165594e+00   -2.229314e+00   -6.884923e+00   -4.122976e-01   -1.663976e+00   2.775416e+00   
           4.180000  5.188691e-01   -6.786886e+00   -9.510100e-01   -1.532217e+00   -6.951201e-01   -8.373801e+00   -3.000113e+00   -8.324209e+00   -5.969626e+00   -3.888785e+00   -3.717864e-01   6.438386e-01   6.461497e-02   -1.395346e+00   3.109506e+00   9.969270e-01   7.727754e-01   -5.053183e+00   -3.446432e+00   -2.510153e+00   -7.165762e+00   -6.931365e-01   -1.944815e+00   2.494577e+00   
           5.220000  1.675280e-01   -7.138228e+00   -1.302351e+00   -1.883558e+00   -1.046461e+00   -8.725142e+00   -3.351454e+00   -8.675551e+00   -6.320967e+00   -4.240126e+00   -7.231275e-01   2.924975e-01   -2.867261e-01   -1.746687e+00   2.758165e+00   6.455859e-01   4.214343e-01   -5.404524e+00   -3.797774e+00   -2.861494e+00   -7.517103e+00   -1.044478e+00   -2.296156e+00   2.143236e+00   
           6.220000  3.395801e-02   -7.271798e+00   -1.435921e+00   -2.017128e+00   -1.180031e+00   -8.858712e+00   -3.485024e+00   -8.809121e+00   -6.454537e+00   -4.373696e+00   -8.566975e-01   1.589275e-01   -4.202961e-01   -1.880257e+00   2.624595e+00   5.120159e-01   2.878643e-01   -5.538094e+00   -3.931344e+00   -2.995064e+00   -7.650673e+00   -1.178048e+00   -2.429726e+00   2.009666e+00   
           7.180000  3.395801e-02   -7.271798e+00   -1.435921e+00   -2.017128e+00   -1.180031e+00   -8.858712e+00   -3.485024e+00   -8.809121e+00   -6.454537e+00   -4.373696e+00   -8.566975e-01   1.589275e-01   -4.202961e-01   -1.880257e+00   2.624595e+00   5.120159e-01   2.878643e-01   -5.538094e+00   -3.931344e+00   -2.995064e+00   -7.650673e+00   -1.178048e+00   -2.429726e+00   2.009666e+00   
           8.110000  -1.433620e-01   -7.449118e+00   -1.613241e+00   -2.194448e+00   -1.357351e+00   -9.036032e+00   -3.662344e+00   -8.986441e+00   -6.631857e+00   -4.551016e+00   -1.034018e+00   -1.839251e-02   -5.976161e-01   -2.057577e+00   2.447275e+00   3.346959e-01   1.105443e-01   -5.715414e+00   -4.108664e+00   -3.172384e+00   -7.827993e+00   -1.355368e+00   -2.607046e+00   1.832346e+00   
           9.010000  -7.014199e-02   -7.375898e+00   -1.540021e+00   -2.121228e+00   -1.284131e+00   -8.962812e+00   -3.589124e+00   -8.913221e+00   -6.558637e+00   -4.477796e+00   -9.607975e-01   5.482749e-02   -5.243961e-01   -1.984357e+00   2.520495e+00   4.079159e-01   1.837643e-01   -5.642194e+00   -4.035444e+00   -3.099164e+00   -7.754773e+00   -1.282148e+00   -2.533826e+00   1.905566e+00   
           9.890000  -5.620420e-01   -7.867798e+00   -2.031921e+00   -2.613128e+00   -1.776031e+00   -9.454712e+00   -4.081024e+00   -9.405121e+00   -7.050537e+00   -4.969696e+00   -1.452698e+00   -4.370725e-01   -1.016296e+00   -2.476257e+00   2.028595e+00   -8.398413e-02   -3.081357e-01   -6.134094e+00   -4.527344e+00   -3.591064e+00   -8.246673e+00   -1.774048e+00   -3.025726e+00   1.413666e+00   
