@ NAME             %7s "QSTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_QS01    I_QS10    I_QS11    I_QS12    I_QS13    I_QS14    I_QS15    I_QS16    I_QS17    I_QS18    I_QS19    I_QS02    I_QS20    I_QS21    I_QS22    I_QS23    I_QS24    I_QS03    I_QS04    I_QS05    I_QS06    I_QS07    I_QS08    I_QS09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  1.500760e+00   -1.740512e+00   -3.222293e+00   -3.083216e-01   -6.514918e-01   -1.677035e+00   3.377286e+00   5.585302e-01   -1.244601e+00   -2.928713e+00   -3.976077e+00   3.605405e+00   -4.690188e+00   -2.466525e+00   -3.285769e+00   1.867734e+00   6.537450e-01   -1.696871e+00   1.966916e+00   -8.776270e-01   -3.234194e+00   -2.123355e+00   -3.632907e+00   -3.654727e+00   
           3.100000  2.624594e+00   -6.166782e-01   -2.098459e+00   8.155117e-01   4.723416e-01   -5.532017e-01   4.501120e+00   1.682364e+00   -1.207676e-01   -1.804880e+00   -2.852243e+00   4.729239e+00   -3.566355e+00   -1.342691e+00   -2.161936e+00   2.991568e+00   1.777578e+00   -5.730381e-01   3.090750e+00   2.462063e-01   -2.110361e+00   -9.995212e-01   -2.509073e+00   -2.530893e+00   
           4.180000  2.874560e+00   -3.667116e-01   -1.848493e+00   1.065478e+00   7.223082e-01   -3.032350e-01   4.751086e+00   1.932330e+00   1.291991e-01   -1.554913e+00   -2.602277e+00   4.979205e+00   -3.316388e+00   -1.092725e+00   -1.911969e+00   3.241534e+00   2.027545e+00   -3.230714e-01   3.340716e+00   4.961730e-01   -1.860394e+00   -7.495546e-01   -2.259107e+00   -2.280927e+00   
           5.220000  3.418914e+00   1.776418e-01   -1.304139e+00   1.609832e+00   1.266662e+00   2.411183e-01   5.295440e+00   2.476684e+00   6.735524e-01   -1.010560e+00   -2.057923e+00   5.523559e+00   -2.772035e+00   -5.483714e-01   -1.367616e+00   3.785888e+00   2.571898e+00   2.212819e-01   3.885070e+00   1.040526e+00   -1.316041e+00   -2.052012e-01   -1.714753e+00   -1.736573e+00   
           6.220000  4.439405e+00   1.198133e+00   -2.836481e-01   2.630323e+00   2.287153e+00   1.261609e+00   6.315931e+00   3.497175e+00   1.694044e+00   9.930984e-03   -1.037432e+00   6.544050e+00   -1.751544e+00   4.721197e-01   -3.471247e-01   4.806379e+00   3.592389e+00   1.241773e+00   4.905561e+00   2.061017e+00   -2.955500e-01   8.152899e-01   -6.942621e-01   -7.160822e-01   
           7.180000  4.946394e+00   1.705122e+00   2.233408e-01   3.137312e+00   2.794142e+00   1.768598e+00   6.822920e+00   4.004164e+00   2.201032e+00   5.169199e-01   -5.304434e-01   7.051039e+00   -1.244555e+00   9.791086e-01   1.598642e-01   5.313368e+00   4.099378e+00   1.748762e+00   5.412550e+00   2.568006e+00   2.114389e-01   1.322279e+00   -1.872732e-01   -2.090933e-01   
           8.110000  5.308094e+00   2.066822e+00   5.850408e-01   3.499012e+00   3.155842e+00   2.130298e+00   7.184620e+00   4.365864e+00   2.562732e+00   8.786199e-01   -1.687434e-01   7.412739e+00   -8.828547e-01   1.340809e+00   5.215642e-01   5.675068e+00   4.461078e+00   2.110462e+00   5.774250e+00   2.929706e+00   5.731389e-01   1.683979e+00   1.744268e-01   1.526067e-01   
           9.010000  5.309910e+00   2.068638e+00   5.868574e-01   3.500828e+00   3.157658e+00   2.132115e+00   7.186436e+00   4.367680e+00   2.564549e+00   8.804365e-01   -1.669267e-01   7.414555e+00   -8.810381e-01   1.342625e+00   5.233809e-01   5.676884e+00   4.462895e+00   2.112279e+00   5.776066e+00   2.931523e+00   5.749556e-01   1.685795e+00   1.762434e-01   1.544234e-01   
           9.890000  5.512794e+00   2.271522e+00   7.897408e-01   3.703712e+00   3.360542e+00   2.334998e+00   7.389320e+00   4.570564e+00   2.767432e+00   1.083320e+00   3.595659e-02   7.617439e+00   -6.781547e-01   1.545509e+00   7.262642e-01   5.879768e+00   4.665778e+00   2.315162e+00   5.978950e+00   3.134406e+00   7.778389e-01   1.888679e+00   3.791268e-01   3.573067e-01   
