@ NAME             %8s "SQLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SQL01    I_SQL10    I_SQL11    I_SQL12    I_SQL13    I_SQL14    I_SQL15    I_SQL16    I_SQL17    I_SQL18    I_SQL19    I_SQL02    I_SQL20    I_SQL21    I_SQL22    I_SQL23    I_SQL24    I_SQL03    I_SQL04    I_SQL05    I_SQL06    I_SQL07    I_SQL08    I_SQL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   1.870000e-02   
           3.100000  -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   -2.237500e-02   
           4.180000  -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   -1.835600e-01   
           5.220000  -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   -3.742220e-01   
           6.220000  -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   -8.944800e-01   
           7.180000  -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   -1.199050e+00   
           8.110000  -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   -1.140240e+00   
           9.010000  -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   -1.337650e+00   
           9.890000  -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   -1.112160e+00   
