@ NAME             %8s "SQSTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SQS01    I_SQS10    I_SQS11    I_SQS12    I_SQS13    I_SQS14    I_SQS15    I_SQS16    I_SQS17    I_SQS18    I_SQS19    I_SQS02    I_SQS20    I_SQS21    I_SQS22    I_SQS23    I_SQS24    I_SQS03    I_SQS04    I_SQS05    I_SQS06    I_SQS07    I_SQS08    I_SQS09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   -9.145000e-02   
           3.100000  -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   -1.002250e-01   
           4.180000  -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   -1.973600e-01   
           5.220000  -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   -2.625620e-01   
           6.220000  -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   -1.018933e-01   
           7.180000  2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   2.246500e-02   
           8.110000  -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   -4.604000e-03   
           9.010000  -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   -2.081233e-01   
           9.890000  -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   -7.113500e-02   
