@ NAME             %8s "SSLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SSL01    I_SSL10    I_SSL11    I_SSL12    I_SSL13    I_SSL14    I_SSL15    I_SSL16    I_SSL17    I_SSL18    I_SSL19    I_SSL02    I_SSL20    I_SSL21    I_SSL22    I_SSL23    I_SSL24    I_SSL03    I_SSL04    I_SSL05    I_SSL06    I_SSL07    I_SSL08    I_SSL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  -3.330988e-01   -3.770441e-01   -3.111262e-01   -3.416437e-01   -3.330988e-01   -3.709406e-01   -3.758234e-01   -3.453059e-01   -3.477473e-01   -3.782648e-01   -3.697199e-01   -3.709406e-01   -3.062434e-01   -3.294367e-01   -3.770441e-01   -3.111262e-01   -3.416437e-01   -3.660578e-01   -3.453059e-01   -3.477473e-01   -3.782648e-01   -3.697199e-01   -3.062434e-01   -3.294367e-01   
           3.100000  -9.602988e-01   -1.004244e+00   -9.383262e-01   -9.688437e-01   -9.602988e-01   -9.981406e-01   -1.003023e+00   -9.725059e-01   -9.749473e-01   -1.005465e+00   -9.969199e-01   -9.981406e-01   -9.334434e-01   -9.566367e-01   -1.004244e+00   -9.383262e-01   -9.688437e-01   -9.932578e-01   -9.725059e-01   -9.749473e-01   -1.005465e+00   -9.969199e-01   -9.334434e-01   -9.566367e-01   
           4.180000  -1.117849e+00   -1.161794e+00   -1.095876e+00   -1.126394e+00   -1.117849e+00   -1.155691e+00   -1.160573e+00   -1.130056e+00   -1.132497e+00   -1.163015e+00   -1.154470e+00   -1.155691e+00   -1.090993e+00   -1.114187e+00   -1.161794e+00   -1.095876e+00   -1.126394e+00   -1.150808e+00   -1.130056e+00   -1.132497e+00   -1.163015e+00   -1.154470e+00   -1.090993e+00   -1.114187e+00   
           5.220000  -1.192829e+00   -1.236774e+00   -1.170856e+00   -1.201374e+00   -1.192829e+00   -1.230671e+00   -1.235553e+00   -1.205036e+00   -1.207477e+00   -1.237995e+00   -1.229450e+00   -1.230671e+00   -1.165973e+00   -1.189167e+00   -1.236774e+00   -1.170856e+00   -1.201374e+00   -1.225788e+00   -1.205036e+00   -1.207477e+00   -1.237995e+00   -1.229450e+00   -1.165973e+00   -1.189167e+00   
           6.220000  -1.267271e+00   -1.311216e+00   -1.245298e+00   -1.275816e+00   -1.267271e+00   -1.305113e+00   -1.309996e+00   -1.279478e+00   -1.281919e+00   -1.312437e+00   -1.303892e+00   -1.305113e+00   -1.240416e+00   -1.263609e+00   -1.311216e+00   -1.245298e+00   -1.275816e+00   -1.300230e+00   -1.279478e+00   -1.281919e+00   -1.312437e+00   -1.303892e+00   -1.240416e+00   -1.263609e+00   
           7.180000  -1.289049e+00   -1.332994e+00   -1.267076e+00   -1.297594e+00   -1.289049e+00   -1.326891e+00   -1.331773e+00   -1.301256e+00   -1.303697e+00   -1.334215e+00   -1.325670e+00   -1.326891e+00   -1.262193e+00   -1.285387e+00   -1.332994e+00   -1.267076e+00   -1.297594e+00   -1.322008e+00   -1.301256e+00   -1.303697e+00   -1.334215e+00   -1.325670e+00   -1.262193e+00   -1.285387e+00   
           8.110000  -1.241649e+00   -1.285594e+00   -1.219676e+00   -1.250194e+00   -1.241649e+00   -1.279491e+00   -1.284373e+00   -1.253856e+00   -1.256297e+00   -1.286815e+00   -1.278270e+00   -1.279491e+00   -1.214793e+00   -1.237987e+00   -1.285594e+00   -1.219676e+00   -1.250194e+00   -1.274608e+00   -1.253856e+00   -1.256297e+00   -1.286815e+00   -1.278270e+00   -1.214793e+00   -1.237987e+00   
           9.010000  -1.103115e+00   -1.147061e+00   -1.081143e+00   -1.111660e+00   -1.103115e+00   -1.140957e+00   -1.145840e+00   -1.115323e+00   -1.117764e+00   -1.148282e+00   -1.139737e+00   -1.140957e+00   -1.076260e+00   -1.099453e+00   -1.147061e+00   -1.081143e+00   -1.111660e+00   -1.136074e+00   -1.115323e+00   -1.117764e+00   -1.148282e+00   -1.139737e+00   -1.076260e+00   -1.099453e+00   
           9.890000  -9.300822e-01   -9.740275e-01   -9.081095e-01   -9.386271e-01   -9.300822e-01   -9.679240e-01   -9.728068e-01   -9.422892e-01   -9.447306e-01   -9.752482e-01   -9.667033e-01   -9.679240e-01   -9.032267e-01   -9.264201e-01   -9.740275e-01   -9.081095e-01   -9.386271e-01   -9.630411e-01   -9.422892e-01   -9.447306e-01   -9.752482e-01   -9.667033e-01   -9.032267e-01   -9.264201e-01   
           10.750000  -7.838969e-01   -8.278422e-01   -7.619243e-01   -7.924419e-01   -7.838969e-01   -8.217387e-01   -8.266215e-01   -7.961040e-01   -7.985454e-01   -8.290629e-01   -8.205180e-01   -8.217387e-01   -7.570415e-01   -7.802348e-01   -8.278422e-01   -7.619243e-01   -7.924419e-01   -8.168559e-01   -7.961040e-01   -7.985454e-01   -8.290629e-01   -8.205180e-01   -7.570415e-01   -7.802348e-01   
           11.600000  -6.647488e-01   -7.086941e-01   -6.427762e-01   -6.732938e-01   -6.647488e-01   -7.025906e-01   -7.074734e-01   -6.769559e-01   -6.793973e-01   -7.099148e-01   -7.013699e-01   -7.025906e-01   -6.378934e-01   -6.610867e-01   -7.086941e-01   -6.427762e-01   -6.732938e-01   -6.977078e-01   -6.769559e-01   -6.793973e-01   -7.099148e-01   -7.013699e-01   -6.378934e-01   -6.610867e-01   
           12.440000  -4.773488e-01   -5.212941e-01   -4.553762e-01   -4.858938e-01   -4.773488e-01   -5.151906e-01   -5.200734e-01   -4.895559e-01   -4.919973e-01   -5.225148e-01   -5.139699e-01   -5.151906e-01   -4.504934e-01   -4.736867e-01   -5.212941e-01   -4.553762e-01   -4.858938e-01   -5.103078e-01   -4.895559e-01   -4.919973e-01   -5.225148e-01   -5.139699e-01   -4.504934e-01   -4.736867e-01   
