@ NAME             %8s "SSSTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SSS01    I_SSS10    I_SSS11    I_SSS12    I_SSS13    I_SSS14    I_SSS15    I_SSS16    I_SSS17    I_SSS18    I_SSS19    I_SSS02    I_SSS20    I_SSS21    I_SSS22    I_SSS23    I_SSS24    I_SSS03    I_SSS04    I_SSS05    I_SSS06    I_SSS07    I_SSS08    I_SSS09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  -6.396230e-01   -1.577123e+00   -1.071752e+00   -2.194727e-02   -1.071752e+00   -1.577123e+00   -2.660879e-01   -4.394277e-01   -1.660131e+00   -8.556875e-01   -5.124414e-02   -1.342520e-01   -1.271947e+00   -1.445287e+00   -1.342520e-01   -6.396230e-01   -1.689428e+00   -1.445287e+00   -1.271947e+00   -5.124414e-02   -8.556875e-01   -1.660131e+00   -4.394277e-01   -2.660879e-01   
           3.100000  -5.908730e-01   -1.528373e+00   -1.023002e+00   2.680273e-02   -1.023002e+00   -1.528373e+00   -2.173379e-01   -3.906777e-01   -1.611381e+00   -8.069375e-01   -2.494141e-03   -8.550195e-02   -1.223197e+00   -1.396537e+00   -8.550195e-02   -5.908730e-01   -1.640678e+00   -1.396537e+00   -1.223197e+00   -2.494141e-03   -8.069375e-01   -1.611381e+00   -3.906777e-01   -2.173379e-01   
           4.180000  -5.529230e-01   -1.490423e+00   -9.850520e-01   6.475273e-02   -9.850520e-01   -1.490423e+00   -1.793879e-01   -3.527277e-01   -1.573431e+00   -7.689875e-01   3.545586e-02   -4.755195e-02   -1.185247e+00   -1.358587e+00   -4.755195e-02   -5.529230e-01   -1.602728e+00   -1.358587e+00   -1.185247e+00   3.545586e-02   -7.689875e-01   -1.573431e+00   -3.527277e-01   -1.793879e-01   
           5.220000  -5.361230e-01   -1.473623e+00   -9.682520e-01   8.155273e-02   -9.682520e-01   -1.473623e+00   -1.625879e-01   -3.359277e-01   -1.556631e+00   -7.521875e-01   5.225586e-02   -3.075195e-02   -1.168447e+00   -1.341787e+00   -3.075195e-02   -5.361230e-01   -1.585928e+00   -1.341787e+00   -1.168447e+00   5.225586e-02   -7.521875e-01   -1.556631e+00   -3.359277e-01   -1.625879e-01   
           6.220000  -5.361230e-01   -1.473623e+00   -9.682520e-01   8.155273e-02   -9.682520e-01   -1.473623e+00   -1.625879e-01   -3.359277e-01   -1.556631e+00   -7.521875e-01   5.225586e-02   -3.075195e-02   -1.168447e+00   -1.341787e+00   -3.075195e-02   -5.361230e-01   -1.585928e+00   -1.341787e+00   -1.168447e+00   5.225586e-02   -7.521875e-01   -1.556631e+00   -3.359277e-01   -1.625879e-01   
           7.180000  -5.259230e-01   -1.463423e+00   -9.580520e-01   9.175273e-02   -9.580520e-01   -1.463423e+00   -1.523879e-01   -3.257277e-01   -1.546431e+00   -7.419875e-01   6.245586e-02   -2.055195e-02   -1.158247e+00   -1.331587e+00   -2.055195e-02   -5.259230e-01   -1.575728e+00   -1.331587e+00   -1.158247e+00   6.245586e-02   -7.419875e-01   -1.546431e+00   -3.257277e-01   -1.523879e-01   
           8.110000  -5.241230e-01   -1.461623e+00   -9.562520e-01   9.355273e-02   -9.562520e-01   -1.461623e+00   -1.505879e-01   -3.239277e-01   -1.544631e+00   -7.401875e-01   6.425586e-02   -1.875195e-02   -1.156447e+00   -1.329787e+00   -1.875195e-02   -5.241230e-01   -1.573928e+00   -1.329787e+00   -1.156447e+00   6.425586e-02   -7.401875e-01   -1.544631e+00   -3.239277e-01   -1.505879e-01   
           9.010000  -5.241230e-01   -1.461623e+00   -9.562520e-01   9.355273e-02   -9.562520e-01   -1.461623e+00   -1.505879e-01   -3.239277e-01   -1.544631e+00   -7.401875e-01   6.425586e-02   -1.875195e-02   -1.156447e+00   -1.329787e+00   -1.875195e-02   -5.241230e-01   -1.573928e+00   -1.329787e+00   -1.156447e+00   6.425586e-02   -7.401875e-01   -1.544631e+00   -3.239277e-01   -1.505879e-01   
           9.890000  -5.318564e-01   -1.469356e+00   -9.639853e-01   8.581940e-02   -9.639853e-01   -1.469356e+00   -1.583212e-01   -3.316611e-01   -1.552364e+00   -7.479208e-01   5.652253e-02   -2.648529e-02   -1.164181e+00   -1.337520e+00   -2.648529e-02   -5.318564e-01   -1.581661e+00   -1.337520e+00   -1.164181e+00   5.652253e-02   -7.479208e-01   -1.552364e+00   -3.316611e-01   -1.583212e-01   
           10.750000  -5.519205e-01   -1.489421e+00   -9.840494e-01   6.575527e-02   -9.840494e-01   -1.489421e+00   -1.783854e-01   -3.517252e-01   -1.572428e+00   -7.679850e-01   3.645839e-02   -4.654942e-02   -1.184245e+00   -1.357585e+00   -4.654942e-02   -5.519205e-01   -1.601725e+00   -1.357585e+00   -1.184245e+00   3.645839e-02   -7.679850e-01   -1.572428e+00   -3.517252e-01   -1.783854e-01   
           11.600000  -5.687342e-01   -1.506234e+00   -1.000863e+00   4.894162e-02   -1.000863e+00   -1.506234e+00   -1.951990e-01   -3.685388e-01   -1.589242e+00   -7.847986e-01   1.964475e-02   -6.336306e-02   -1.201058e+00   -1.374398e+00   -6.336306e-02   -5.687342e-01   -1.618539e+00   -1.374398e+00   -1.201058e+00   1.964475e-02   -7.847986e-01   -1.589242e+00   -3.685388e-01   -1.951990e-01   
           12.440000  -5.971230e-01   -1.534623e+00   -1.029252e+00   2.055273e-02   -1.029252e+00   -1.534623e+00   -2.235879e-01   -3.969277e-01   -1.617631e+00   -8.131875e-01   -8.744141e-03   -9.175195e-02   -1.229447e+00   -1.402787e+00   -9.175195e-02   -5.971230e-01   -1.646928e+00   -1.402787e+00   -1.229447e+00   -8.744141e-03   -8.131875e-01   -1.617631e+00   -3.969277e-01   -2.235879e-01   
           13.260000  -6.388786e-01   -1.576379e+00   -1.071008e+00   -2.120282e-02   -1.071008e+00   -1.576379e+00   -2.653434e-01   -4.386833e-01   -1.659386e+00   -8.549431e-01   -5.049970e-02   -1.335075e-01   -1.271203e+00   -1.444543e+00   -1.335075e-01   -6.388786e-01   -1.688683e+00   -1.444543e+00   -1.271203e+00   -5.049970e-02   -8.549431e-01   -1.659386e+00   -4.386833e-01   -2.653434e-01   
           14.080000  -7.063008e-01   -1.643801e+00   -1.138430e+00   -8.862504e-02   -1.138430e+00   -1.643801e+00   -3.327657e-01   -5.061055e-01   -1.726809e+00   -9.223653e-01   -1.179219e-01   -2.009297e-01   -1.338625e+00   -1.511965e+00   -2.009297e-01   -7.063008e-01   -1.756106e+00   -1.511965e+00   -1.338625e+00   -1.179219e-01   -9.223653e-01   -1.726809e+00   -5.061055e-01   -3.327657e-01   
           14.890000  -8.250786e-01   -1.762579e+00   -1.257208e+00   -2.074028e-01   -1.257208e+00   -1.762579e+00   -4.515434e-01   -6.248833e-01   -1.845586e+00   -1.041143e+00   -2.366997e-01   -3.197075e-01   -1.457403e+00   -1.630743e+00   -3.197075e-01   -8.250786e-01   -1.874883e+00   -1.630743e+00   -1.457403e+00   -2.366997e-01   -1.041143e+00   -1.845586e+00   -6.248833e-01   -4.515434e-01   
           15.700000  -9.351760e-01   -1.872676e+00   -1.367305e+00   -3.175003e-01   -1.367305e+00   -1.872676e+00   -5.616409e-01   -7.349807e-01   -1.955684e+00   -1.151240e+00   -3.467971e-01   -4.298050e-01   -1.567500e+00   -1.740840e+00   -4.298050e-01   -9.351760e-01   -1.984981e+00   -1.740840e+00   -1.567500e+00   -3.467971e-01   -1.151240e+00   -1.955684e+00   -7.349807e-01   -5.616409e-01   
           16.510000  -1.069348e+00   -2.006848e+00   -1.501477e+00   -4.516723e-01   -1.501477e+00   -2.006848e+00   -6.958129e-01   -8.691527e-01   -2.089856e+00   -1.285412e+00   -4.809691e-01   -5.639770e-01   -1.701672e+00   -1.875012e+00   -5.639770e-01   -1.069348e+00   -2.119153e+00   -1.875012e+00   -1.701672e+00   -4.809691e-01   -1.285412e+00   -2.089856e+00   -8.691527e-01   -6.958129e-01   
           17.310000  -1.229452e+00   -2.166952e+00   -1.661581e+00   -6.117758e-01   -1.661581e+00   -2.166952e+00   -8.559165e-01   -1.029256e+00   -2.249959e+00   -1.445516e+00   -6.410727e-01   -7.240805e-01   -1.861776e+00   -2.035116e+00   -7.240805e-01   -1.229452e+00   -2.279256e+00   -2.035116e+00   -1.861776e+00   -6.410727e-01   -1.445516e+00   -2.249959e+00   -1.029256e+00   -8.559165e-01   
           19.710000  -1.447617e+00   -2.385117e+00   -1.879746e+00   -8.299416e-01   -1.879746e+00   -2.385117e+00   -1.074082e+00   -1.247422e+00   -2.468125e+00   -1.663682e+00   -8.592384e-01   -9.422462e-01   -2.079942e+00   -2.253281e+00   -9.422462e-01   -1.447617e+00   -2.497422e+00   -2.253281e+00   -2.079942e+00   -8.592384e-01   -1.663682e+00   -2.468125e+00   -1.247422e+00   -1.074082e+00   
           20.510000  -1.449023e+00   -2.386523e+00   -1.881152e+00   -8.313473e-01   -1.881152e+00   -2.386523e+00   -1.075488e+00   -1.248828e+00   -2.469531e+00   -1.665088e+00   -8.606441e-01   -9.436520e-01   -2.081347e+00   -2.254687e+00   -9.436520e-01   -1.449023e+00   -2.498828e+00   -2.254687e+00   -2.081347e+00   -8.606441e-01   -1.665088e+00   -2.469531e+00   -1.248828e+00   -1.075488e+00   
           21.310000  -1.449023e+00   -2.386523e+00   -1.881152e+00   -8.313473e-01   -1.881152e+00   -2.386523e+00   -1.075488e+00   -1.248828e+00   -2.469531e+00   -1.665088e+00   -8.606441e-01   -9.436520e-01   -2.081347e+00   -2.254687e+00   -9.436520e-01   -1.449023e+00   -2.498828e+00   -2.254687e+00   -2.081347e+00   -8.606441e-01   -1.665088e+00   -2.469531e+00   -1.248828e+00   -1.075488e+00   
           22.110000  -1.449023e+00   -2.386523e+00   -1.881152e+00   -8.313473e-01   -1.881152e+00   -2.386523e+00   -1.075488e+00   -1.248828e+00   -2.469531e+00   -1.665088e+00   -8.606441e-01   -9.436520e-01   -2.081347e+00   -2.254687e+00   -9.436520e-01   -1.449023e+00   -2.498828e+00   -2.254687e+00   -2.081347e+00   -8.606441e-01   -1.665088e+00   -2.469531e+00   -1.248828e+00   -1.075488e+00   
           22.910000  -1.449023e+00   -2.386523e+00   -1.881152e+00   -8.313473e-01   -1.881152e+00   -2.386523e+00   -1.075488e+00   -1.248828e+00   -2.469531e+00   -1.665088e+00   -8.606441e-01   -9.436520e-01   -2.081347e+00   -2.254687e+00   -9.436520e-01   -1.449023e+00   -2.498828e+00   -2.254687e+00   -2.081347e+00   -8.606441e-01   -1.665088e+00   -2.469531e+00   -1.248828e+00   -1.075488e+00   
           23.700000  -1.449023e+00   -2.386523e+00   -1.881152e+00   -8.313473e-01   -1.881152e+00   -2.386523e+00   -1.075488e+00   -1.248828e+00   -2.469531e+00   -1.665088e+00   -8.606441e-01   -9.436520e-01   -2.081347e+00   -2.254687e+00   -9.436520e-01   -1.449023e+00   -2.498828e+00   -2.254687e+00   -2.081347e+00   -8.606441e-01   -1.665088e+00   -2.469531e+00   -1.248828e+00   -1.075488e+00   
           24.500000  -1.450530e+00   -2.388030e+00   -1.882659e+00   -8.328543e-01   -1.882659e+00   -2.388030e+00   -1.076995e+00   -1.250335e+00   -2.471038e+00   -1.666595e+00   -8.621512e-01   -9.451590e-01   -2.082854e+00   -2.256194e+00   -9.451590e-01   -1.450530e+00   -2.500335e+00   -2.256194e+00   -2.082854e+00   -8.621512e-01   -1.666595e+00   -2.471038e+00   -1.250335e+00   -1.076995e+00   
           25.290000  -1.456200e+00   -2.393700e+00   -1.888328e+00   -8.385237e-01   -1.888328e+00   -2.393700e+00   -1.082664e+00   -1.256004e+00   -2.476707e+00   -1.672264e+00   -8.678206e-01   -9.508284e-01   -2.088524e+00   -2.261864e+00   -9.508284e-01   -1.456200e+00   -2.506004e+00   -2.261864e+00   -2.088524e+00   -8.678206e-01   -1.672264e+00   -2.476707e+00   -1.256004e+00   -1.082664e+00   
