@ NAME             %8s "SXLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SXL01    I_SXL10    I_SXL11    I_SXL12    I_SXL13    I_SXL14    I_SXL15    I_SXL16    I_SXL17    I_SXL18    I_SXL19    I_SXL02    I_SXL20    I_SXL21    I_SXL22    I_SXL23    I_SXL24    I_SXL03    I_SXL04    I_SXL05    I_SXL06    I_SXL07    I_SXL08    I_SXL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  8.250018e+00   1.024098e+01   2.341814e+00   7.103777e+00   8.005877e+00   7.856951e+00   3.702898e+00   8.903094e+00   9.067889e+00   9.093523e+00   2.561541e+00   1.063039e+01   7.235613e+00   6.670428e+00   6.976824e+00   3.710223e+00   7.404070e+00   2.535906e+00   6.049090e+00   7.695818e+00   9.457293e+00   3.232928e+00   7.208758e+00   1.002980e+01   
           3.100000  8.461018e+00   1.045198e+01   2.552814e+00   7.314777e+00   8.216877e+00   8.067951e+00   3.913898e+00   9.114094e+00   9.278889e+00   9.304523e+00   2.772541e+00   1.084139e+01   7.446613e+00   6.881428e+00   7.187824e+00   3.921223e+00   7.615070e+00   2.746906e+00   6.260090e+00   7.906818e+00   9.668293e+00   3.443928e+00   7.419758e+00   1.024080e+01   
           4.180000  9.031151e+00   1.102212e+01   3.122948e+00   7.884911e+00   8.787010e+00   8.638085e+00   4.484032e+00   9.684227e+00   9.849022e+00   9.874657e+00   3.342674e+00   1.141152e+01   8.016747e+00   7.451561e+00   7.757958e+00   4.491356e+00   8.185204e+00   3.317040e+00   6.830223e+00   8.476952e+00   1.023843e+01   4.014061e+00   7.989891e+00   1.081094e+01   
           5.220000  9.982238e+00   1.197320e+01   4.074034e+00   8.835997e+00   9.738097e+00   9.589171e+00   5.435118e+00   1.063531e+01   1.080011e+01   1.082574e+01   4.293761e+00   1.236261e+01   8.967833e+00   8.402648e+00   8.709044e+00   5.442443e+00   9.136290e+00   4.268126e+00   7.781310e+00   9.428038e+00   1.118951e+01   4.965148e+00   8.940978e+00   1.176202e+01   
           6.220000  1.048402e+01   1.247498e+01   4.575814e+00   9.337777e+00   1.023988e+01   1.009095e+01   5.936898e+00   1.113709e+01   1.130189e+01   1.132752e+01   4.795541e+00   1.286439e+01   9.469613e+00   8.904428e+00   9.210824e+00   5.944223e+00   9.638070e+00   4.769906e+00   8.283090e+00   9.929818e+00   1.169129e+01   5.466928e+00   9.442758e+00   1.226380e+01   
           7.180000  1.092502e+01   1.291598e+01   5.016814e+00   9.778777e+00   1.068088e+01   1.053195e+01   6.377898e+00   1.157809e+01   1.174289e+01   1.176852e+01   5.236541e+00   1.330539e+01   9.910613e+00   9.345428e+00   9.651824e+00   6.385223e+00   1.007907e+01   5.210906e+00   8.724090e+00   1.037082e+01   1.213229e+01   5.907928e+00   9.883758e+00   1.270480e+01   
           8.110000  1.140642e+01   1.339738e+01   5.498214e+00   1.026018e+01   1.116228e+01   1.101335e+01   6.859298e+00   1.205949e+01   1.222429e+01   1.224992e+01   5.717941e+00   1.378679e+01   1.039201e+01   9.826828e+00   1.013322e+01   6.866623e+00   1.056047e+01   5.692306e+00   9.205490e+00   1.085222e+01   1.261369e+01   6.389328e+00   1.036516e+01   1.318620e+01   
           9.010000  1.164802e+01   1.363898e+01   5.739814e+00   1.050178e+01   1.140388e+01   1.125495e+01   7.100898e+00   1.230109e+01   1.246589e+01   1.249152e+01   5.959541e+00   1.402839e+01   1.063361e+01   1.006843e+01   1.037482e+01   7.108223e+00   1.080207e+01   5.933906e+00   9.447090e+00   1.109382e+01   1.285529e+01   6.630928e+00   1.060676e+01   1.342780e+01   
           9.890000  1.169732e+01   1.368828e+01   5.789114e+00   1.055108e+01   1.145318e+01   1.130425e+01   7.150198e+00   1.235039e+01   1.251519e+01   1.254082e+01   6.008841e+00   1.407769e+01   1.068291e+01   1.011773e+01   1.042412e+01   7.157523e+00   1.085137e+01   5.983206e+00   9.496390e+00   1.114312e+01   1.290459e+01   6.680228e+00   1.065606e+01   1.347710e+01   
