@ NAME             %8s "SXSTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SXS01    I_SXS10    I_SXS11    I_SXS12    I_SXS13    I_SXS14    I_SXS15    I_SXS16    I_SXS17    I_SXS18    I_SXS19    I_SXS02    I_SXS20    I_SXS21    I_SXS22    I_SXS23    I_SXS24    I_SXS03    I_SXS04    I_SXS05    I_SXS06    I_SXS07    I_SXS08    I_SXS09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  6.140898e-01   1.361160e+00   1.560135e+00   1.778641e+00   6.140898e-01   2.611160e+00   3.003006e+00   3.028641e+00   1.335525e+00   2.611160e+00   2.281570e+00   2.611160e+00   1.778641e+00   -1.073457e-01   1.361160e+00   1.560135e+00   1.778641e+00   3.003006e+00   3.028641e+00   1.335525e+00   2.611160e+00   2.281570e+00   1.778641e+00   -1.088791e+00   
           3.100000  -1.397410e+00   -6.503398e-01   -4.513652e-01   -2.328594e-01   -1.397410e+00   5.996602e-01   9.915059e-01   1.017141e+00   -6.759746e-01   5.996602e-01   2.700703e-01   5.996602e-01   -2.328594e-01   -2.118846e+00   -6.503398e-01   -4.513652e-01   -2.328594e-01   9.915059e-01   1.017141e+00   -6.759746e-01   5.996602e-01   2.700703e-01   -2.328594e-01   -3.100291e+00   
           4.180000  -1.397410e+00   -6.503398e-01   -4.513652e-01   -2.328594e-01   -1.397410e+00   5.996602e-01   9.915059e-01   1.017141e+00   -6.759746e-01   5.996602e-01   2.700703e-01   5.996602e-01   -2.328594e-01   -2.118846e+00   -6.503398e-01   -4.513652e-01   -2.328594e-01   9.915059e-01   1.017141e+00   -6.759746e-01   5.996602e-01   2.700703e-01   -2.328594e-01   -3.100291e+00   
           5.220000  -1.920690e+00   -1.173620e+00   -9.746452e-01   -7.561394e-01   -1.920690e+00   7.638016e-02   4.682259e-01   4.938606e-01   -1.199255e+00   7.638016e-02   -2.532097e-01   7.638016e-02   -7.561394e-01   -2.642126e+00   -1.173620e+00   -9.746452e-01   -7.561394e-01   4.682259e-01   4.938606e-01   -1.199255e+00   7.638016e-02   -2.532097e-01   -7.561394e-01   -3.623571e+00   
           6.220000  -2.239343e+00   -1.492273e+00   -1.293299e+00   -1.074793e+00   -2.239343e+00   -2.422732e-01   1.495725e-01   1.752073e-01   -1.517908e+00   -2.422732e-01   -5.718630e-01   -2.422732e-01   -1.074793e+00   -2.960779e+00   -1.492273e+00   -1.293299e+00   -1.074793e+00   1.495725e-01   1.752073e-01   -1.517908e+00   -2.422732e-01   -5.718630e-01   -1.074793e+00   -3.942224e+00   
           7.180000  -2.284310e+00   -1.537240e+00   -1.338265e+00   -1.119759e+00   -2.284310e+00   -2.872398e-01   1.046059e-01   1.302406e-01   -1.562875e+00   -2.872398e-01   -6.168297e-01   -2.872398e-01   -1.119759e+00   -3.005746e+00   -1.537240e+00   -1.338265e+00   -1.119759e+00   1.046059e-01   1.302406e-01   -1.562875e+00   -2.872398e-01   -6.168297e-01   -1.119759e+00   -3.987191e+00   
           8.110000  -2.322710e+00   -1.575640e+00   -1.376665e+00   -1.158159e+00   -2.322710e+00   -3.256398e-01   6.620586e-02   9.184063e-02   -1.601275e+00   -3.256398e-01   -6.552297e-01   -3.256398e-01   -1.158159e+00   -3.044146e+00   -1.575640e+00   -1.376665e+00   -1.158159e+00   6.620586e-02   9.184063e-02   -1.601275e+00   -3.256398e-01   -6.552297e-01   -1.158159e+00   -4.025591e+00   
           9.010000  -2.391510e+00   -1.644440e+00   -1.445465e+00   -1.226959e+00   -2.391510e+00   -3.944398e-01   -2.594141e-03   2.304063e-02   -1.670075e+00   -3.944398e-01   -7.240297e-01   -3.944398e-01   -1.226959e+00   -3.112946e+00   -1.644440e+00   -1.445465e+00   -1.226959e+00   -2.594141e-03   2.304063e-02   -1.670075e+00   -3.944398e-01   -7.240297e-01   -1.226959e+00   -4.094391e+00   
           9.890000  -2.756500e+00   -2.009430e+00   -1.810455e+00   -1.591949e+00   -2.756500e+00   -7.594298e-01   -3.675841e-01   -3.419494e-01   -2.035065e+00   -7.594298e-01   -1.089020e+00   -7.594298e-01   -1.591949e+00   -3.477936e+00   -2.009430e+00   -1.810455e+00   -1.591949e+00   -3.675841e-01   -3.419494e-01   -2.035065e+00   -7.594298e-01   -1.089020e+00   -1.591949e+00   -4.459381e+00   
           10.750000  -3.031910e+00   -2.284840e+00   -2.085865e+00   -1.867359e+00   -3.031910e+00   -1.034840e+00   -6.429941e-01   -6.173594e-01   -2.310475e+00   -1.034840e+00   -1.364430e+00   -1.034840e+00   -1.867359e+00   -3.753346e+00   -2.284840e+00   -2.085865e+00   -1.867359e+00   -6.429941e-01   -6.173594e-01   -2.310475e+00   -1.034840e+00   -1.364430e+00   -1.867359e+00   -4.734791e+00   
