@ NAME             %7s "VLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_VL01    I_VL10    I_VL11    I_VL12    I_VL13    I_VL14    I_VL15    I_VL16    I_VL17    I_VL18    I_VL19    I_VL02    I_VL20    I_VL21    I_VL22    I_VL23    I_VL24    I_VL03    I_VL04    I_VL05    I_VL06    I_VL07    I_VL08    I_VL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           3.100000  -3.274800e+00   2.467767e+00   6.535367e+00   7.413433e+00   8.798567e+00   3.995167e+00   6.463100e+00   5.132300e+00   3.794667e+00   3.573100e+00   5.559510e+00   -1.877833e+00   4.444273e+00   2.507900e+00   3.458700e+00   6.332800e+00   3.304700e+00   5.357133e+00   -9.079333e-01   5.995133e-01   2.595633e+00   2.322143e+00   2.097667e+00   7.387933e-01   
           4.180000  -2.873040e+00   2.432847e+00   6.647327e+00   7.958113e+00   9.506687e+00   4.515367e+00   7.468580e+00   5.707940e+00   2.959467e+00   1.856980e+00   3.232218e+00   -2.070433e+00   2.859625e+00   2.776820e+00   3.455460e+00   6.168640e+00   4.251860e+00   7.853373e+00   1.792787e+00   -1.898227e-01   1.641273e+00   1.200491e+00   8.628667e-01   1.090813e-01   
           5.220000  -2.486160e+00   2.399220e+00   6.755140e+00   8.482620e+00   1.018858e+01   5.016300e+00   8.436820e+00   6.262260e+00   2.155200e+00   2.044200e-01   9.911220e-01   -2.255900e+00   1.333668e+00   3.035780e+00   3.452340e+00   6.010560e+00   5.163940e+00   1.025716e+01   4.393480e+00   -9.499240e-01   7.222600e-01   1.203820e-01   -3.262000e-01   -4.973080e-01   
           6.220000  -2.257215e+00   2.377685e+00   6.999405e+00   8.496225e+00   1.081880e+01   5.098460e+00   9.365785e+00   7.086210e+00   2.107940e+00   -4.783450e-01   -3.423915e-01   -2.056530e+00   2.332440e-01   3.284835e+00   3.443015e+00   5.976205e+00   5.898380e+00   1.267490e+01   6.631430e+00   -1.293950e+00   2.649350e-01   -7.332765e-01   -1.465060e+00   -1.028379e+00   
           7.180000  -2.524335e+00   2.393765e+00   7.712445e+00   6.839025e+00   1.133720e+01   3.817556e+00   1.025066e+01   8.867490e+00   4.533860e+00   1.950695e+00   1.173136e+00   -5.795700e-01   4.254360e-01   3.524115e+00   3.412535e+00   6.343645e+00   6.118220e+00   1.535810e+01   7.885670e+00   -3.075500e-01   1.277015e+00   -9.234285e-01   -2.543140e+00   -1.361235e+00   
           8.110000  -2.783107e+00   2.409342e+00   8.403202e+00   5.233613e+00   1.183940e+01   2.576680e+00   1.110789e+01   1.059310e+01   6.883970e+00   4.303827e+00   2.641304e+00   8.512350e-01   6.116220e-01   3.755917e+00   3.383008e+00   6.699602e+00   6.331190e+00   1.795745e+01   9.100715e+00   6.480250e-01   2.257467e+00   -1.107638e+00   -3.587530e+00   -1.683690e+00   
           9.010000  -3.033532e+00   2.424417e+00   9.071677e+00   3.679988e+00   1.232540e+01   1.375832e+00   1.193747e+01   1.226305e+01   9.158270e+00   6.581052e+00   4.062112e+00   2.235885e+00   7.918020e-01   3.980242e+00   3.354433e+00   7.044077e+00   6.537290e+00   2.047295e+01   1.027656e+01   1.572775e+00   3.206292e+00   -1.285906e+00   -4.598230e+00   -1.995742e+00   
           9.890000  -3.278392e+00   2.439157e+00   9.725297e+00   2.160888e+00   1.280060e+01   2.016703e-01   1.274861e+01   1.389589e+01   1.138203e+01   8.807672e+00   5.451346e+00   3.589765e+00   9.679780e-01   4.199582e+00   3.326493e+00   7.380897e+00   6.738810e+00   2.293255e+01   1.142628e+01   2.476975e+00   4.134032e+00   -1.460212e+00   -5.586470e+00   -2.300860e+00   
