@ NAME             %7s "VSTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_VS01    I_VS10    I_VS11    I_VS12    I_VS13    I_VS14    I_VS15    I_VS16    I_VS17    I_VS18    I_VS19    I_VS02    I_VS20    I_VS21    I_VS22    I_VS23    I_VS24    I_VS03    I_VS04    I_VS05    I_VS06    I_VS07    I_VS08    I_VS09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           3.100000  -1.134800e+00   -7.517033e+00   -1.632613e+00   -8.715233e+00   -5.460433e+00   -7.960233e+00   -7.800867e+00   -8.025100e+00   -7.784333e-02   -5.245500e+00   -7.065900e+00   -7.291867e+00   -6.256200e+00   -1.363667e+00   -7.669367e+00   -5.240467e+00   -3.123667e+00   -5.058867e-01   1.626000e-02   -6.243813e+00   -5.413433e+00   -3.870000e+00   -1.517167e+00   1.167567e+00   
           4.180000  -1.089440e+00   -7.333793e+00   -1.239637e+00   -9.711353e+00   -5.367913e+00   -9.118353e+00   -9.387027e+00   -8.576980e+00   1.691809e+00   -2.723700e+00   -3.554820e+00   -7.171627e+00   -5.199960e+00   -2.180867e+00   -6.506927e+00   -4.716307e+00   -4.178467e+00   -6.127143e+00   -1.851492e+00   -4.222197e+00   -5.677313e+00   -1.936800e+00   -4.065667e-01   1.540887e+00   
           5.220000  -1.045760e+00   -7.157340e+00   -8.612160e-01   -1.067058e+01   -5.278820e+00   -1.023358e+01   -1.091444e+01   -9.108420e+00   3.395918e+00   -2.953000e-01   -1.737800e-01   -7.055840e+00   -4.182840e+00   -2.967800e+00   -5.387540e+00   -4.211560e+00   -5.194200e+00   -1.154020e+01   -3.650068e+00   -2.275456e+00   -5.931420e+00   -7.520000e-02   6.629000e-01   1.900380e+00   
           6.220000  -1.061950e+00   -7.402575e+00   -4.860230e-01   -1.168150e+01   -5.465220e+00   -1.116295e+01   -1.251595e+01   -1.007806e+01   4.047330e+00   1.074395e+00   2.207516e+00   -7.733555e+00   -3.547325e+00   -3.633020e+00   -4.724715e+00   -3.847960e+00   -6.102575e+00   -1.579030e+01   -5.109605e+00   -1.260438e+00   -6.606990e+00   1.693680e+00   1.512080e+00   2.365085e+00   
           7.180000  -1.275550e+00   -9.050175e+00   -8.728700e-02   -1.295350e+01   -6.570180e+00   -1.156855e+01   -1.450555e+01   -1.256998e+01   1.312770e+00   -8.962450e-01   1.533404e+00   -1.106979e+01   -4.102925e+00   -3.960380e+00   -5.495835e+00   -3.913240e+00   -6.742175e+00   -1.662070e+01   -5.592245e+00   -3.202422e+00   -8.723310e+00   3.319920e+00   1.717520e+00   3.216365e+00   
           8.110000  -1.482475e+00   -1.064629e+01   2.989885e-01   -1.418575e+01   -7.640610e+00   -1.196147e+01   -1.643297e+01   -1.498403e+01   -1.336335e+00   -2.805302e+00   8.803580e-01   -1.430178e+01   -4.641162e+00   -4.277510e+00   -6.242857e+00   -3.976480e+00   -7.361787e+00   -1.742515e+01   -6.059802e+00   -5.083719e+00   -1.077349e+01   4.895340e+00   1.916540e+00   4.041042e+00   
           9.010000  -1.682725e+00   -1.219091e+01   6.728035e-01   -1.537825e+01   -8.676510e+00   -1.234172e+01   -1.829822e+01   -1.732021e+01   -3.899985e+00   -4.652777e+00   2.483780e-01   -1.742950e+01   -5.162037e+00   -4.584410e+00   -6.965782e+00   -4.037680e+00   -7.961412e+00   -1.820365e+01   -6.512277e+00   -6.904329e+00   -1.275754e+01   6.419940e+00   2.109140e+00   4.839117e+00   
           9.890000  -1.878525e+00   -1.370121e+01   1.038311e+00   -1.654425e+01   -9.689390e+00   -1.271352e+01   -2.012202e+01   -1.960447e+01   -6.406665e+00   -6.459197e+00   -3.695580e-01   -2.048772e+01   -5.671337e+00   -4.884490e+00   -7.672642e+00   -4.097520e+00   -8.547712e+00   -1.896485e+01   -6.954697e+00   -8.684481e+00   -1.469750e+01   7.910660e+00   2.297460e+00   5.619457e+00   
